n,r
5, 2.23607
10, 3
15, 4.24264
20, 5.65685
25, 7.2111
30, 8.94427
35, 10.7703
40, 11.1803
45, 11.1803
50, 11.6619
55, 11.6619
60, 13
65, 13.4164
70, 13.4164
75, 13.9284
80, 14.3178
85, 15.6525
90, 17
95, 17
100, 17
105, 17.088
110, 18.3576
115, 19.2354
120, 20.1246
125, 20.1246
130, 21.0238
135, 21.0238
140, 21.0238
145, 21.9317
150, 21.9317
155, 21.9317
160, 22.3607
165, 23.2594
170, 23.7065
175, 24.5967
180, 24.5967
185, 25.4951
190, 25.9422
195, 25.9422
200, 25.9422
205, 25.9422
210, 25.9422
215, 26.4197
220, 26.9258
225, 26.9258
230, 26.9258
235, 27.4591
240, 27.4591
245, 27.4591
250, 28.3019
255, 29.1548
260, 29.1548
265, 30.0167
270, 30.0167
275, 30.0167
280, 30.0167
285, 30.0167
290, 30.0167
295, 30.0167
300, 30.0167
305, 30.0167
310, 30.0167
315, 30.0167
320, 30.0167
325, 30.0167
330, 30.0167
335, 30.0167
340, 30.6757
345, 31.6228
350, 32.573
355, 32.573
360, 32.573
365, 33.5261
370, 33.8378
375, 33.8378
380, 33.8378
385, 34.4819
390, 34.4819
395, 35.4401
400, 35.4401
405, 35.4401
410, 36.4005
415, 36.4005
420, 36.6879
425, 36.6879
430, 37.3631
435, 37.6563
440, 38.3275
445, 38.3275
450, 38.3275
455, 38.6394
460, 38.6394
465, 38.6394
470, 38.6394
475, 38.6394
480, 38.6394
485, 38.6394
490, 38.6394
495, 38.6394
500, 38.6394
505, 38.6394
510, 39.3954
515, 39.8121
520, 39.8121
525, 39.8121
530, 39.8121
535, 39.8121
540, 40.7922
545, 40.7922
550, 40.7922
555, 41.7732
560, 41.7732
565, 41.7732
570, 41.9762
575, 41.9762
580, 41.9762
585, 42.9535
590, 42.9535
595, 42.9535
600, 42.9535
605, 42.9535
610, 43.7379
615, 43.7379
620, 43.7379
625, 43.9318
630, 43.9318
635, 43.9318
640, 44.1475
645, 44.1475
650, 44.1475
655, 44.7214
660, 44.7214
665, 44.7214
670, 44.7214
675, 45.1221
680, 45.1221
685, 45.1221
690, 45.1221
695, 45.1221
700, 45.1221
705, 45.1221
710, 45.1221
715, 45.7056
720, 45.7056
725, 45.7056
730, 45.7056
735, 45.7056
740, 45.7056
745, 45.7056
750, 45.7056
755, 46.6905
760, 46.6905
765, 46.6905
770, 46.6905
775, 46.6905
780, 46.6905
785, 46.6905
790, 47.676
795, 47.676
800, 47.676
805, 47.676
810, 47.676
815, 48.6621
820, 48.6621
825, 48.8365
830, 48.8365
835, 50.4876
840, 50.4876
845, 50.4876
850, 50.4876
855, 50.4876
860, 50.4876
865, 50.4876
870, 50.4876
875, 51.3517
880, 51.3517
885, 51.4782
890, 51.4782
895, 51.4782
900, 52.345
905, 52.345
910, 52.345
915, 52.345
920, 52.345
925, 53.3385
930, 54.3323
935, 54.4518
940, 54.4518
945, 54.4518
950, 54.4518
955, 54.4518
960, 54.4518
965, 55.3263
970, 55.3263
975, 55.3263
980, 55.3263
985, 55.5788
990, 55.7315
995, 55.7315
1000, 55.7315
1005, 55.7315
1010, 55.7315
1015, 55.7315
